frame_idx,frame_name,road_ratio
1058,001058,0.46481636
1059,001059,0.46082184
1060,001060,0.43096864
1061,001061,0.45460737
1062,001062,0.48125964
1063,001063,0.50984085
1064,001064,0.5419382
1065,001065,0.5726247
1066,001066,0.5748027
1067,001067,0.5752811
1068,001068,0.5789008
1069,001069,0.5771328
1070,001070,0.4885036
1071,001071,0.48603237
1072,001072,0.45872316
1073,001073,0.45365724
1074,001074,0.45783255
1075,001075,0.44231296
1076,001076,0.42474538
1077,001077,0.43263966
1078,001078,0.42461532
1079,001079,0.4387527
1080,001080,0.4138552
1081,001081,0.421119
1082,001082,0.43355453
1083,001083,0.46020016
1084,001084,0.45006394
1085,001085,0.46791148
1086,001086,0.4577069
1087,001087,0.4669415
1088,001088,0.5089855
1089,001089,0.5006018
1090,001090,0.4947996
1091,001091,0.48034477
1092,001092,0.45673472
1093,001093,0.43297693
1094,001094,0.4327058
1095,001095,0.42473435
1096,001096,0.42237777
1097,001097,0.4182774
1098,001098,0.42217055
1099,001099,0.45523345
1100,001100,0.46762487
1101,001101,0.464629
1102,001102,0.44726422
1103,001103,0.4614523
1104,001104,0.46255898
1105,001105,0.46860147
1106,001106,0.47898683
1107,001107,0.49001366
1108,001108,0.46181825
1109,001109,0.45080686
1110,001110,0.43412328
1111,001111,0.4322274
1112,001112,0.41857943
1113,001113,0.4178674
1114,001114,0.39139807
1115,001115,0.41335037
1116,001116,0.4183149
1117,001117,0.41760284
1118,001118,0.40184516
1119,001119,0.3868833
1120,001120,0.37558088
1121,001121,0.36869186
1122,001122,0.3732309
1123,001123,0.37554342
1124,001124,0.38102818
1125,001125,0.38631895
1126,001126,0.39057142
1127,001127,0.3941625
1128,001128,0.39884925
1129,001129,0.4054473
1130,001130,0.41406244
1131,001131,0.4238283
1132,001132,0.42979586
1133,001133,0.4417508
1134,001134,0.4500066
1135,001135,0.44996473
1136,001136,0.45141527
1137,001137,0.44591948
1138,001138,0.4422887
1139,001139,0.47658834
1140,001140,0.47541997
1141,001141,0.48121998
1142,001142,0.49131653
1143,001143,0.49824744
1144,001144,0.49609587
1145,001145,0.51039416
1146,001146,0.5041819
1147,001147,0.49698207
1148,001148,0.4929677
1149,001149,0.48073056
1150,001150,0.46781668
1151,001151,0.45116398
1152,001152,0.4311406
1153,001153,0.42851505
1154,001154,0.44237468
1155,001155,0.45625854
1156,001156,0.47221905
1157,001157,0.46953177
1158,001158,0.4532384
1159,001159,0.47383493
1160,001160,0.47197214
1161,001161,0.48765266
1162,001162,0.49040386
1163,001163,0.47462192
1164,001164,0.46218422
1165,001165,0.43903488
1166,001166,0.41111723
1167,001167,0.37973192
1168,001168,0.37093163
1169,001169,0.37346458
1170,001170,0.37421632
1171,001171,0.3956726
1172,001172,0.38537982
1173,001173,0.35875842
1174,001174,0.3809488
1175,001175,0.3997597
1176,001176,0.4252943
1177,001177,0.4568361
1178,001178,0.4377144
1179,001179,0.43200034
1180,001180,0.43887395
1181,001181,0.4434218
1182,001182,0.47982672
1183,001183,0.4524999
1184,001184,0.4727944
1185,001185,0.47987303
1186,001186,0.497154
1187,001187,0.4443962
1188,001188,0.41123408
1189,001189,0.3959702
1190,001190,0.49880517
1191,001191,0.48682377
1192,001192,0.49216744
1193,001193,0.47571537
1194,001194,0.45782593
1195,001195,0.45969754
1196,001196,0.42390987
1197,001197,0.41043165
1198,001198,0.41548213
1199,001199,0.4113862
1200,001200,0.39075658
1201,001201,0.40175477
1202,001202,0.42114544
1203,001203,0.41429833
1204,001204,0.40642166
1205,001205,0.41037872
1206,001206,0.3917464
1207,001207,0.38385874
1208,001208,0.36678717
1209,001209,0.35057756
1210,001210,0.3080949
1211,001211,0.4498611
1212,001212,0.4614457
1213,001213,0.4525021
1214,001214,0.45189366
1215,001215,0.4297694
1216,001216,0.38241038
1217,001217,0.41047132
1218,001218,0.43323708
1219,001219,0.45398572
1220,001220,0.477695
1221,001221,0.547736
1222,001222,0.5487655
1223,001223,0.5674573
1224,001224,0.6530841
1225,001225,0.6433292
1226,001226,0.6514836
1227,001227,0.6110555
1228,001228,0.5172413
1229,001229,0.4180327
1230,001230,0.42417002
1231,001231,0.41695693
1232,001232,0.40709403
1233,001233,0.40724394
1234,001234,0.43181297
1235,001235,0.49172434
1236,001236,0.4999647
1237,001237,0.482999
1238,001238,0.45496893
1239,001239,0.3834994
1240,001240,0.4872845
1241,001241,0.43581852
1242,001242,0.39747587
1243,001243,0.4090825
1244,001244,0.39026278
